group,city,state,statePop,ideology,gpsByState,gpsPerCapita
Proud Boys,(Statewide),Alabama,4864680,General Hate,16,0.328901387
United Klans of America,(Statewide),Alabama,4864680,Ku Klux Klan,16,0.328901387
National Socialist Liberation Front,(Statewide),Alabama,4864680,Neo-Nazi,16,0.328901387
The Daily Stormer,(Statewide),Alabama,4864680,Neo-Nazi,16,0.328901387
Wolves of Vinland,(Statewide),Alabama,4864680,Neo-Volkisch,16,0.328901387
The Right Stuff,(Statewide),Alabama,4864680,White Nationalist,16,0.328901387
Asatru Folk Assembly,(Statewide),Alaska,738516,Neo-Volkisch,2,0.270813361
AZ Patriots,(Statewide),Arizona,6946685,Anti-Immigrant,21,0.302302465
Proud Boys,(Statewide),Arizona,6946685,General Hate,21,0.302302465
Wotan's Nation,(Statewide),Arizona,6946685,Neo-Volkisch,21,0.302302465
Firm 22,(Statewide),Arizona,6946685,Racist Skinhead,21,0.302302465
American Identity Movement,(Statewide),Arizona,6946685,White Nationalist,21,0.302302465
Patriot Front,(Statewide),Arizona,6946685,White Nationalist,21,0.302302465
Patriot Front,(Statewide),Arkansas,2990671,White Nationalist,15,0.501559683
Soldiers of Odin,(Statewide),California,39148760,Anti-Muslim,88,0.22478362
Israelites Saints of Christ,(Statewide),California,39148760,Black Separatist,88,0.22478362
Vinlandic Werwolf Distribution,(Statewide),California,39148760,Hate Music,88,0.22478362
Pacific Coast Knights of the Ku Klux Klan,(Statewide),California,39148760,Ku Klux Klan,88,0.22478362
American Nazi Party,(Statewide),California,39148760,Neo-Nazi,88,0.22478362
Atomwaffen Division,(Statewide),California,39148760,Neo-Nazi,88,0.22478362
Feuerkrieg Division,(Statewide),California,39148760,Neo-Nazi,88,0.22478362
The Daily Stormer,(Statewide),California,39148760,Neo-Nazi,88,0.22478362
Viking Brotherhood,(Statewide),California,39148760,Neo-Volkisch,88,0.22478362
AC Skins,(Statewide),California,39148760,Racist Skinhead,88,0.22478362
American Front,(Statewide),California,39148760,Racist Skinhead,88,0.22478362
Crew 38,(Statewide),California,39148760,Racist Skinhead,88,0.22478362
Western Hammerskins,(Statewide),California,39148760,Racist Skinhead,88,0.22478362
Our Fight Clothing,(Statewide),California,39148760,White Nationalist,88,0.22478362
Patriot Front,(Statewide),California,39148760,White Nationalist,88,0.22478362
Proud Boys,(Statewide),Colorado,5531141,General Hate,22,0.397747951
Atomwaffen Division,(Statewide),Colorado,5531141,Neo-Nazi,22,0.397747951
Asatru Folk Assembly,(Statewide),Colorado,5531141,Neo-Volkisch,22,0.397747951
Patriot Front,(Statewide),Colorado,5531141,White Nationalist,22,0.397747951
The Right Stuff,(Statewide),Colorado,5531141,White Nationalist,22,0.397747951
ACT for America,(Statewide),Connecticut,3581504,Anti-Muslim,8,0.223369847
Proud Boys,(Statewide),Connecticut,3581504,General Hate,8,0.223369847
National Socialist Movement,(Statewide),Connecticut,3581504,Neo-Nazi,8,0.223369847
American Identity Movement,(Statewide),Connecticut,3581504,White Nationalist,8,0.223369847
Patriot Front,(Statewide),Connecticut,3581504,White Nationalist,8,0.223369847
American Christian Dixie Knights of the Ku Klux Klan,(Statewide),Florida,20598139,Ku Klux Klan,67,0.325272103
International Keystone Knights of the Ku Klux Klan,(Statewide),Florida,20598139,Ku Klux Klan,67,0.325272103
Traditionalist American Knights of the Ku Klux Klan,(Statewide),Florida,20598139,Ku Klux Klan,67,0.325272103
Identity Dixie,(Statewide),Florida,20598139,Neo-Confederate,67,0.325272103
Atomwaffen Division,(Statewide),Florida,20598139,Neo-Nazi,67,0.325272103
Endangered Souls RC/Crew 519,(Statewide),Florida,20598139,Neo-Nazi,67,0.325272103
Feuerkrieg Division,(Statewide),Florida,20598139,Neo-Nazi,67,0.325272103
New Order,(Statewide),Florida,20598139,Neo-Nazi,67,0.325272103
Asatru Folk Assembly,(Statewide),Florida,20598139,Neo-Volkisch,67,0.325272103
Wolves of Vinland,(Statewide),Florida,20598139,Neo-Volkisch,67,0.325272103
Firm 22,(Statewide),Florida,20598139,Racist Skinhead,67,0.325272103
United Skinhead Nation,(Statewide),Florida,20598139,Racist Skinhead,67,0.325272103
Vinlanders Social Club,(Statewide),Florida,20598139,Racist Skinhead,67,0.325272103
American Identity Movement,(Statewide),Florida,20598139,White Nationalist,67,0.325272103
