group,ideology,city,headquarters
ATLAH Media Network,Anti-LGBTQ,New York,-
Center for Family and Human Rights (C-FAM),Anti-LGBTQ,New York,Yes
Foundation for Advocating Christian Truth,Anti-Muslim,Bronx,Yes
Rise Align Ignite Reclaim,Anti-Muslim,Fishkill,Yes
ACT for America,Anti-Muslim,Hauppauge,-
American Freedom Defense Initiative,Anti-Muslim,New York,Yes
Radio Jihad/Global Patriot Radio,Anti-Muslim,Statewide,Yes
Ambassadors of Christ,Black Separatist,Brooklyn,Yes
House of David,Black Separatist,Brooklyn,Yes
Nation of Islam,Black Separatist,Brooklyn,-
Israel United In Christ,Black Separatist,Mount Vernon,Yes
Lions of Israel,Black Separatist,Mount Vernon,Yes
Black Riders Liberation Party,Black Separatist,New York,-
Great Millstone,Black Separatist,New York,Yes
House of Israel,Black Separatist,New York,Yes
Israelite School of Universal Practical Knowledge,Black Separatist,New York,-
Nation of Islam,Black Separatist,New York,-
Revolutionary Black Panther Party,Black Separatist,New York,-
Israel United In Christ,Black Separatist,Rochester,-
Nation of Islam,Black Separatist,Rochester,-
Israelite School of Universal Practical Knowledge,Black Separatist,Syracuse,-
Jewish Defense League,General Hate,Brooklyn,-
The United Nuwaupians Worldwide/All Eyes on Egipt,General Hate,Brooklyn,Yes
Jewish Task Force,General Hate,Fresh Meadows,-
Proud Boys,General Hate,New York,Yes
Tony Alamo Christian Ministries,General Hate,New York,-
United Riot Records,Hate Music,New York,-
American Christian Dixie Knights of the Ku Klux Klan,Ku Klux Klan,Statewide,-
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,Statewide,-
Feuerkrieg Division,Neo-Nazi,Statewide,-
National Socialist Liberation Front,Neo-Nazi,Statewide,-
CarolynEmerick.com/Folkright.com,Neo-Volkisch,Rochester,Yes
Blood and Honour Social Club,Racist Skinhead,Statewide,-
Vinlanders Social Club,Racist Skinhead,Statewide,-
The Fatima Crusader/International Fatima Rosary Crusade,Radical Traditional Catholicism,Buffalo,-
"Catholic Family News/Catholic Family Ministries, Inc.",Radical Traditional Catholicism,Niagara Falls,-
The Right Stuff,White Nationalist,Hopewell Junction,Yes
Racial Nationalist Party of America,White Nationalist,Lockport,-
American Freedom Party,White Nationalist,New York,-
Arktos Media,White Nationalist,New York,Yes
The Base,White Nationalist,New York,-
American Freedom Party,White Nationalist,Statewide,-
American Identity Movement,White Nationalist,Statewide,-
Patriot Front,White Nationalist,Statewide,-
