city_state,city,state,city_total,ideologies,lon,lat,city_pop,
"Bronx, NY",Bronx,New York,1,<strong>1</strong> Anti-Muslim,-73.8648268,40.8447819,"1,400,000",
"Brooklyn, NY",Brooklyn,New York,5,<strong>3</strong> Black Separatist<br /> <strong>2</strong> General Hate,-73.9441579,40.6781784,"2,500,000",
"Buffalo, NY",Buffalo,New York,1,<strong>1</strong> Radical Traditional Catholicism,-78.8783689,42.8864468,"256,300",
"Fishkill, NY",Fishkill,New York,1,<strong>1</strong> Anti-Muslim,-73.8990252,41.5356492,"2,080",
"Fresh Meadows, NY",Fresh Meadows,New York,1,<strong>1</strong> General Hate,-73.7801447,40.7335179,"39,000",
"Hauppauge, NY",Hauppauge,New York,1,<strong>1</strong> Anti-Muslim,-73.2026138,40.8256536,"20,880",
"Hopewell Junction, NY",Hopewell Junction,New York,1,<strong>1</strong> White Nationalist,-73.8087442,41.5839823,376,
"Lockport, NY",Lockport,New York,1,<strong>1</strong> White Nationalist,-78.6903098,43.1706128,"20,430",
"Mount Vernon, NY",Mount Vernon,New York,2,<strong>2</strong> Black Separatist,-73.8370786,40.9125992,"67,600",
"New York, NY",New York,New York,15,<strong>2</strong> Anti-LGBTQ<br /> <strong>1</strong> Anti-Muslim<br /> <strong>6</strong> Black Separatist<br /> <strong>2</strong> General Hate<br /> <strong>1</strong> Hate Music<br /> <strong>3</strong> White Nationalist,-74.0059728,40.7127753,"8,400,000",
"Niagara Falls, NY",Niagara Falls,New York,1,<strong>1</strong> Radical Traditional Catholicism,-79.0377388,43.0962143,"48,145",
"Rochester, NY",Rochester,New York,3,<strong>2</strong> Black Separatist<br /> <strong>1</strong> Neo-Volkisch,-77.6088465,43.1565779,"206,280",
"Syracuse, NY",Syracuse,New York,1,<strong>1</strong> Black Separatist,-76.1474244,43.0481221,"142,750",
